ISO3,Country_Raw,Year,New_Infections,Predicted_Infections,EDI_Raw,ART_Coverage
GIN,GIN,2015.0,9200.0,8880.049488963525,0.16399211326456636,28.0
GMB,GMB,2010.0,2300.0,2342.136988908793,-0.0816201221853362,9.0
GMB,GMB,2011.0,2200.0,2228.86838344562,-0.05874719345160276,13.0
GMB,GMB,2012.0,2200.0,2110.001273966527,0.19341486200760508,16.0
GMB,GMB,2013.0,2100.0,2087.3189759637303,0.027547279027741966,16.0
GMB,GMB,2014.0,2100.0,1957.252797423996,0.3305915860426296,17.0
GMB,GMB,2015.0,1900.0,1951.0530579950662,-0.11860870103296475,19.0
GNB,GNB,2010.0,2900.0,3090.281172917212,-0.2796445305584215,10.0
GNB,GNB,2011.0,2600.0,2898.63087723504,-0.4677938364675901,13.0
GNB,GNB,2012.0,2400.0,2560.159656888202,-0.2839191474267346,17.0
GNB,GNB,2013.0,2100.0,2357.7095434548987,-0.4959054028665577,18.0
GNB,GNB,2014.0,1800.0,2076.451920507486,-0.6036702057399639,22.0
GNB,GNB,2015.0,1800.0,1733.4775796220688,0.1738308511987436,26.0
GRC,GRC,2010.0,680.0,666.9233510502117,0.08798841246279081,47.0
GRC,GRC,2011.0,680.0,660.3009490567102,0.1338574577172746,49.0
GRC,GRC,2012.0,670.0,653.0239193831095,0.11662019594276785,51.0
GRC,GRC,2013.0,660.0,637.606582916913,0.15749662485592497,55.0
GRC,GRC,2014.0,640.0,623.572164471809,0.11809818260897208,58.0
GRC,GRC,2015.0,630.0,602.397127190416,0.20529347001392367,62.0
GTM,GTM,2010.0,1000.0,1025.812924761924,-0.11352202415596153,44.0
GTM,GTM,2011.0,840.0,935.2093303456722,-0.45884369114100976,49.0
GTM,GTM,2012.0,830.0,795.3793378770137,0.1958066910757408,54.0
GTM,GTM,2013.0,750.0,781.875151690985,-0.18335211016479164,59.0
GTM,GTM,2014.0,780.0,712.4041746575606,0.4262038370233331,60.0
GTM,GTM,2015.0,890.0,735.0130803214199,0.9475740762535177,58.0
GUY,GUY,2010.0,500.0,457.4881787479914,0.4141462142409649,46.0
GUY,GUY,2011.0,500.0,455.103502055717,0.4396193036446821,50.0
GUY,GUY,2012.0,500.0,454.3191464019899,0.44805494858292455,53.0
GUY,GUY,2013.0,500.0,454.3018324564843,0.44824147927114266,56.0
GUY,GUY,2014.0,500.0,452.5481287626809,0.46720721205977067,57.0
GUY,GUY,2015.0,500.0,450.78162831089116,0.48645724227445986,58.0
HND,HND,2010.0,500.0,485.4743709422042,0.1335170365586082,33.0
HND,HND,2011.0,500.0,484.18887001553725,0.1457110553551368,37.0
HND,HND,2012.0,500.0,481.8187852570018,0.16836028204747852,41.0
HND,HND,2013.0,500.0,478.9956398629004,0.19562551628644906,45.0
HND,HND,2014.0,500.0,475.36940780885215,0.23111195747489188,48.0
HND,HND,2015.0,500.0,472.22601120054236,0.2623050515854498,52.0
HRV,HRV,2010.0,100.0,113.0160705141229,-0.482364876613683,43.0
HRV,HRV,2011.0,100.0,112.18047077333128,-0.45449791410788654,46.0
HRV,HRV,2012.0,100.0,111.2399982509903,-0.4226723080210545,49.0
HRV,HRV,2013.0,100.0,109.462170653216,-0.3611363289996354,53.0
HRV,HRV,2014.0,100.0,108.73434498975375,-0.3354103197356422,56.0
HRV,HRV,2015.0,100.0,107.27472361566448,-0.28285162229932403,63.0
HTI,HTI,2010.0,8200.0,7544.601778111696,0.3953072936291577,13.0
HTI,HTI,2011.0,7700.0,7780.555469293748,-0.047115997957402934,16.0
HTI,HTI,2012.0,7100.0,7276.820124275751,-0.1105691600704864,20.0
HTI,HTI,2013.0,7200.0,6581.722810169788,0.42738802647614055,25.0
HTI,HTI,2014.0,7100.0,6652.701770454496,0.30590397829107874,29.0
HTI,HTI,2015.0,7200.0,6529.901524746644,0.4668800244023531,32.0
IDN,IDN,2010.0,49000.0,44512.75141049592,0.4592584243665833,5.0
IDN,IDN,2011.0,49000.0,44519.48151118653,0.45850030901850775,6.0
IDN,IDN,2012.0,48000.0,44345.33606510179,0.3754573029913668,7.0
IDN,IDN,2013.0,45000.0,43229.782504943614,0.18655290426760224,8.0
IDN,IDN,2014.0,43000.0,40350.2146992724,0.2991684789641697,10.0
IDN,IDN,2015.0,41000.0,38360.990710931466,0.3133980639809926,12.0
IRL,IRL,2010.0,500.0,478.84177961266744,0.19712050656470895,61.0
IRL,IRL,2011.0,500.0,477.1271783644616,0.21384439110228184,64.0
IRL,IRL,2012.0,500.0,474.5740855885015,0.2389660047621924,67.0
IRL,IRL,2013.0,500.0,471.66837129883265,0.26788122578559936,70.0
IRL,IRL,2014.0,500.0,468.2185859122331,0.30266667409114784,73.0
IRL,IRL,2015.0,500.0,460.6196066285963,0.3810882824300363,75.0
IRQ,IRQ,2010.0,100.0,299.0112360141685,-2.9327407622558215,20.0
IRQ,IRQ,2011.0,100.0,306.4883109486915,-2.9710462346196165,21.0
IRQ,IRQ,2012.0,100.0,317.4661099493654,-3.024120132511887,21.0
IRQ,IRQ,2013.0,100.0,328.32401291821145,-3.073230134697425,23.0
IRQ,IRQ,2014.0,100.0,335.0094909716906,-3.101932533120087,24.0
IRQ,IRQ,2015.0,100.0,339.19569678007224,-3.1193460420841883,27.0
ISL,ISL,2010.0,100.0,93.58377645288994,0.2826355246453469,66.0
ISL,ISL,2011.0,100.0,93.59570861081008,0.28207721146302694,68.0
